1,2295,5721,French,336
1,132,218,French,348
1,4882,12872,French,354
1,1579,3777,French,357
1,10582,27668,French,378
1,136,223,French,384
1,1579,20277,English,390
1,2295,5720,English,393
1,10582,27664,English,414
1,3263,8269,English,414
1,9336,24550,French,417
1,1312,3016,French,420
1,53,74,French,422
1,9712,25594,English,423
1,6238,17202,French,426
1,9336,24554,English,426
1,1472,3391,English,426
1,10259,26876,English,432
1,5077,13504,French,432
1,10259,27795,French,432
1,6238,16376,English,435
1,53,12641,English,444
1,1472,3405,French,462
1,4696,12329,French,486
1,2553,6735,French,498
1,3645,9268,English,501
1,5099,13546,English,507
1,9712,25597,French,537
1,4884,12889,English,540
1,8468,23059,French,543
1,2553,6734,English,546
1,479,1044,French,552
1,4696,12330,English,552
1,10578,27631,English,558
1,10355,27101,English,558
1,1847,4400,English,560
1,479,1039,English,567
1,6025,15923,French,576
1,8468,23073,English,579
1,8232,22560,English,591
1,8232,22570,French,594
1,9866,26009,French,597
1,4882,12870,English,606
1,10454,27341,French,612
1,3645,9270,French,612
1,4884,12896,French,624
1,3289,8845,French,624
1,6025,15921,English,657
1,590,1311,French,657
1,1458,3372,French,666
1,1178,2749,English,672
1,1458,3371,English,678
1,5027,13301,French,678
1,874,2080,French,687
1,874,2087,English,690
1,8467,23505,English,690
1,1178,2750,French,696
1,132,745,English,700
1,6728,17642,English,702
1,7652,20257,French,705
1,590,1313,English,708
1,10355,27103,French,714
1,3766,10050,French,714
1,5027,13299,English,741
1,6298,17362,French,756
1,6728,17646,French,759
1,5099,13537,French,765
1,7879,20745,French,792
1,7381,19418,English,797
1,9866,26008,English,810
1,8358,21821,French,822
1,10578,27630,French,831
1,7742,21445,French,855
1,7879,20746,English,855
1,136,222,English,876
1,3263,8262,French,891
1,1312,3231,English,933
1,8467,22028,French,951
1,6298,17361,English,1008
1,7381,19421,French,1017
1,10302,26993,French,1047
1,1847,4401,French,1060
1,7329,20229,English,1065
1,10454,27340,English,1071
1,7742,21450,English,1074
1,3766,10047,English,1092
1,10302,26984,English,1176
1,5077,13502,English,1248
1,11012,28756,French,1305
1,1416,3479,English,1332
1,7652,20259,English,1350
1,1416,3755,French,1389
1,11012,28926,English,1401
1,3289,8364,English,1437
1,1087,2520,English,1659
1,7329,20242,French,1665
1,8358,21820,English,1698
1,8881,23098,English,1809
1,8881,24151,French,1853
1,1087,2705,French,1884
