author_id,doc_id,lang
176,281,English
176,279,Spanish
1097,2746,Spanish
1097,2537,English
1472,3395,Spanish
1472,3391,English
1680,20055,Spanish
1680,4227,English
1867,4786,Spanish
1867,4472,English
3816,14950,English
3816,13445,Spanish
4941,13661,Spanish
4941,12991,English
5732,16023,Spanish
5732,16028,English
6132,16215,English
6132,17042,Spanish
6298,17361,English
6298,16517,Spanish
6903,18265,Spanish
6903,18259,English
7593,19990,English
7593,19981,Spanish
8232,22565,Spanish
8232,22560,English
8437,23002,English
8437,23003,Spanish
9353,24627,English
9353,24628,Spanish
9712,25594,English
9712,25596,Spanish
10355,27101,English
10355,27106,Spanish
10543,27564,Spanish
10543,27561,English
