author_id,doc_id,lang
53,74,French
176,279,Spanish
53,12641,English
125,6739,English
55,12596,English
1680,23260,French
5728,15203,French
125,207,German
1472,3395,Spanish
1097,2746,Spanish
104,3277,English
80,117,English
104,3270,German
114,2034,French
1680,20055,Spanish
8232,22565,Spanish
132,218,French
6298,16517,Spanish
136,223,French
80,6979,French
1867,4786,Spanish
1472,3405,French
2311,5759,Spanish
1416,3489,German
1097,2537,English
176,281,English
8232,22570,French
9103,23844,German
114,21567,English
4941,13661,Spanish
2311,5757,French
9103,23845,French
55,12599,German
132,745,English
1078,2502,German
1103,2549,German
6298,17362,French
5728,15202,German
4941,12991,English
136,222,English
1867,4472,English
1103,2548,French
1416,3755,French
1078,2506,English
